Category,Name,Visitor Count,Climate,Price Level,Best Month,Editorial Summary,Popularity Tier,Address,UNESCO,Rating,userRatingCount,websiteUri,googleMapsUri,Keyword 1,Keyword 2,Keyword 3
City,"Bangkok, Thailand",25000000,Aw,1,November - April,A major global urban destination in Thailand known for its tourism appeal.,22.5,"Bangkok, Thailand",No,3.8,832819,https://www.visitbangkok.com,"https://www.google.com/maps/search/Afghanistan,CultureBangkok",Romantic,Nightlife,Family
City,"Paris, France",24500000,Cfb,3,June - August,A major global urban destination in France known for its tourism appeal.,23.46,"Paris, France",Yes,4.0,733785,https://www.visitparis.com,"https://www.google.com/maps/search/Afghanistan,CultureParis",Food & Wine,Culture & Museums,Romantic
City,"London, UK",24009999,Cfb,4,June - August,A major global urban destination in UK known for its tourism appeal.,25.17,"London, UK",No,4.4,525878,https://www.visitlondon.com,"https://www.google.com/maps/search/Afghanistan,CultureLondon",Culture & Museums,Nightlife,Food & Wine
City,"Dubai, UAE",23529799,BWh,4,November - March,A major global urban destination in UAE known for its tourism appeal.,22.66,"Dubai, UAE",No,3.9,646709,https://www.visitdubai.com,"https://www.google.com/maps/search/Afghanistan,CultureDubai",Nightlife,Culture & Museums,Food & Wine
City,"Singapore, Singapore",23059203,Af,4,Year Round,A major global urban destination in Singapore known for its tourism appeal.,27.25,"Singapore, Singapore",Yes,4.5,1136296,https://www.visitsingapore.com,"https://www.google.com/maps/search/Afghanistan,CultureSingapore",Family,Romantic,Food & Wine
City,"Kuala Lumpur, Malaysia",22598019,Af,1,Year Round,A major global urban destination in Malaysia known for its tourism appeal.,23.46,"Kuala Lumpur, Malaysia",Yes,4.3,286017,https://www.visitkualalumpur.com,"https://www.google.com/maps/search/Afghanistan,CultureKuala+Lumpur",Romantic,Culture & Museums,Food & Wine
City,"New York City, USA",22146059,Cfa,4,"March - May, September - November",A major global urban destination in USA known for its tourism appeal.,27.33,"New York City, USA",No,4.8,494915,https://www.visitnewyorkcity.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+York+City",Romantic,Culture & Museums,Nightlife
City,"Istanbul, Turkey",21703138,Csa,1,"April - June, September - October",A major global urban destination in Turkey known for its tourism appeal.,25.76,"Istanbul, Turkey",Yes,4.8,232844,https://www.visitistanbul.com,"https://www.google.com/maps/search/Afghanistan,CultureIstanbul",Romantic,City Break,Culture & Museums
City,"Tokyo, Japan",21269075,Cfa,3,"March - May, September - November",A major global urban destination in Japan known for its tourism appeal.,22.37,"Tokyo, Japan",Yes,3.8,770281,https://www.visittokyo.com,"https://www.google.com/maps/search/Afghanistan,CultureTokyo",City Break,Nightlife,Food & Wine
City,"Antalya, Turkey",20843694,Csa,1,"April - June, September - October",A major global urban destination in Turkey known for its tourism appeal.,21.41,"Antalya, Turkey",No,3.9,309665,https://www.visitantalya.com,"https://www.google.com/maps/search/Afghanistan,CultureAntalya",Romantic,Food & Wine,Family
City,"Seoul, South Korea",20426820,Dwa,2,May - October,A major global urban destination in South Korea known for its tourism appeal.,24.37,"Seoul, South Korea",Yes,4.1,876858,https://www.visitseoul.com,"https://www.google.com/maps/search/Afghanistan,CultureSeoul",Family,Nightlife,City Break
City,"Osaka, Japan",20018283,Cfa,2,"March - May, September - November",A major global urban destination in Japan known for its tourism appeal.,22.75,"Osaka, Japan",No,4.2,260566,https://www.visitosaka.com,"https://www.google.com/maps/search/Afghanistan,CultureOsaka",Nightlife,Romantic,Family
City,"Phuket, Thailand",19617918,Am,1,December - March,A major global urban destination in Thailand known for its tourism appeal.,24.83,"Phuket, Thailand",Yes,4.3,593334,https://www.visitphuket.com,"https://www.google.com/maps/search/Afghanistan,CulturePhuket",Family,Nightlife,Food & Wine
City,"Rome, Italy",19225559,Csa,3,"April - June, September - October",A major global urban destination in Italy known for its tourism appeal.,22.32,"Rome, Italy",Yes,4.0,380433,https://www.visitrome.com,"https://www.google.com/maps/search/Afghanistan,CultureRome",Food & Wine,Family,City Break
City,"Barcelona, Spain",18841048,Csa,2,"April - June, September - October",A major global urban destination in Spain known for its tourism appeal.,22.06,"Barcelona, Spain",Yes,3.9,454125,https://www.visitbarcelona.com,"https://www.google.com/maps/search/Afghanistan,CultureBarcelona",Culture & Museums,Family,City Break
City,"Pattaya, Thailand",18464227,Aw,1,November - April,A major global urban destination in Thailand known for its tourism appeal.,26.92,"Pattaya, Thailand",No,4.8,405006,https://www.visitpattaya.com,"https://www.google.com/maps/search/Afghanistan,CulturePattaya",Romantic,Nightlife,Culture & Museums
City,"Hong Kong, China",18094943,Cwa,3,October - April,A major global urban destination in China known for its tourism appeal.,26.04,"Hong Kong, China",Yes,4.4,828095,https://www.visithongkong.com,"https://www.google.com/maps/search/Afghanistan,CultureHong+Kong",Food & Wine,City Break,Family
City,"Milan, Italy",17733044,Cfa,3,"March - May, September - November",A major global urban destination in Italy known for its tourism appeal.,20.88,"Milan, Italy",Yes,3.9,225261,https://www.visitmilan.com,"https://www.google.com/maps/search/Afghanistan,CultureMilan",Family,Food & Wine,Nightlife
City,"Palma de Mallorca, Spain",17378383,Csa,2,"April - June, September - October",A major global urban destination in Spain known for its tourism appeal.,22.25,"Palma de Mallorca, Spain",No,4.2,198529,https://www.visitpalmademallorca.com,"https://www.google.com/maps/search/Afghanistan,CulturePalma+de+Mallorca",Romantic,Nightlife,Culture & Museums
City,"Bali, Indonesia",17030815,Aw,1,November - April,A major global urban destination in Indonesia known for its tourism appeal.,23.39,"Bali, Indonesia",No,4.2,370240,https://www.visitbali.com,"https://www.google.com/maps/search/Afghanistan,CultureBali",Food & Wine,City Break,Romantic
City,"Mecca, Saudi Arabia",16690199,BWh,2,November - March,A major global urban destination in Saudi Arabia known for its tourism appeal.,28.19,"Mecca, Saudi Arabia",No,4.8,744726,https://www.visitmecca.com,"https://www.google.com/maps/search/Afghanistan,CultureMecca",Family,Nightlife,Food & Wine
City,"Prague, Czech Republic",16356395,Cfb,2,June - August,A major global urban destination in Czech Republic known for its tourism appeal.,23.11,"Prague, Czech Republic",Yes,4.0,597830,https://www.visitprague.com,"https://www.google.com/maps/search/Afghanistan,CulturePrague",Family,Food & Wine,Romantic
City,"Taipei, Taiwan",16029267,Cfa,2,"March - May, September - November",A major global urban destination in Taiwan known for its tourism appeal.,25.85,"Taipei, Taiwan",No,4.7,316137,https://www.visittaipei.com,"https://www.google.com/maps/search/Afghanistan,CultureTaipei",Nightlife,City Break,Culture & Museums
City,"Shanghai, China",15708682,Cfa,2,"March - May, September - November",A major global urban destination in China known for its tourism appeal.,26.61,"Shanghai, China",No,4.6,608661,https://www.visitshanghai.com,"https://www.google.com/maps/search/Afghanistan,CultureShanghai",Family,Nightlife,Romantic
City,"Vienna, Austria",15394508,Cfb,3,June - August,A major global urban destination in Austria known for its tourism appeal.,24.36,"Vienna, Austria",Yes,4.2,630908,https://www.visitvienna.com,"https://www.google.com/maps/search/Afghanistan,CultureVienna",City Break,Family,Culture & Museums
City,"Los Angeles, USA",15086618,Csb,3,May - September,A major global urban destination in USA known for its tourism appeal.,25.24,"Los Angeles, USA",Yes,4.6,306706,https://www.visitlosangeles.com,"https://www.google.com/maps/search/Afghanistan,CultureLos+Angeles",Nightlife,Romantic,City Break
City,"Amsterdam, Netherlands",14784885,Cfb,3,June - August,A major global urban destination in Netherlands known for its tourism appeal.,22.19,"Amsterdam, Netherlands",No,3.9,488610,https://www.visitamsterdam.com,"https://www.google.com/maps/search/Afghanistan,CultureAmsterdam",Culture & Museums,Food & Wine,Nightlife
City,"Miami, USA",14489188,Am,3,December - March,A major global urban destination in USA known for its tourism appeal.,27.69,"Miami, USA",No,4.8,585968,https://www.visitmiami.com,"https://www.google.com/maps/search/Afghanistan,CultureMiami",Culture & Museums,Romantic,Family
City,"Las Vegas, USA",14199404,BWk,3,May - September,A major global urban destination in USA known for its tourism appeal.,22.32,"Las Vegas, USA",Yes,4.1,277465,https://www.visitlasvegas.com,"https://www.google.com/maps/search/Afghanistan,CultureLas+Vegas",Family,Nightlife,City Break
City,"Madrid, Spain",13915416,Csa,2,"April - June, September - October",A major global urban destination in Spain known for its tourism appeal.,24.23,"Madrid, Spain",No,4.4,320789,https://www.visitmadrid.com,"https://www.google.com/maps/search/Afghanistan,CultureMadrid",Nightlife,Family,Romantic
City,"Ho Chi Minh City, Vietnam",13637107,Aw,1,November - April,A major global urban destination in Vietnam known for its tourism appeal.,25.74,"Ho Chi Minh City, Vietnam",No,4.6,394777,https://www.visithochiminhcity.com,"https://www.google.com/maps/search/Afghanistan,CultureHo+Chi+Minh+City",Family,Culture & Museums,Romantic
City,"Berlin, Germany",13364365,Cfb,2,June - August,A major global urban destination in Germany known for its tourism appeal.,26.07,"Berlin, Germany",No,4.7,352832,https://www.visitberlin.com,"https://www.google.com/maps/search/Afghanistan,CultureBerlin",Nightlife,Family,City Break
City,"Lisbon, Portugal",13097078,Csa,2,"April - June, September - October",A major global urban destination in Portugal known for its tourism appeal.,25.45,"Lisbon, Portugal",No,4.6,340080,https://www.visitlisbon.com,"https://www.google.com/maps/search/Afghanistan,CultureLisbon",Romantic,Nightlife,Culture & Museums
City,"Venice, Italy",12835136,Cfa,3,"March - May, September - November",A major global urban destination in Italy known for its tourism appeal.,25.4,"Venice, Italy",Yes,4.7,253296,https://www.visitvenice.com,"https://www.google.com/maps/search/Afghanistan,CultureVenice",Romantic,City Break,Nightlife
City,"Florence, Italy",12578434,Cfa,3,"March - May, September - November",A major global urban destination in Italy known for its tourism appeal.,24.65,"Florence, Italy",No,4.8,136685,https://www.visitflorence.com,"https://www.google.com/maps/search/Afghanistan,CultureFlorence",Culture & Museums,Food & Wine,City Break
City,"Cairo, Egypt",12326865,BWh,1,November - March,A major global urban destination in Egypt known for its tourism appeal.,23.97,"Cairo, Egypt",Yes,4.5,212376,https://www.visitcairo.com,"https://www.google.com/maps/search/Afghanistan,CultureCairo",Family,Nightlife,Romantic
City,"Athens, Greece",12080328,Csa,2,"April - June, September - October",A major global urban destination in Greece known for its tourism appeal.,24.69,"Athens, Greece",Yes,4.7,178762,https://www.visitathens.com,"https://www.google.com/maps/search/Afghanistan,CultureAthens",Culture & Museums,Food & Wine,City Break
