iata_code,name,city,country,lat,lng,is_international,label,source_url
AAE,Annaba,Annaba,Algeria,36.822225,7.809167,false,Annaba (AAE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAL,Aalborg,Aalborg,Denmark,57.092789,9.849164,false,Aalborg (AAL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.261667,55.609167,true,Al Ain (AAN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAQ,Vityazevo,Anapa,Russia,45.002097,37.347272,false,Anapa (AAQ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAR,Aarhus,Aarhus,Denmark,56.300017,10.619008,false,Aarhus (AAR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAT,Altay Airport,Altay,China,47.866667,88.116667,false,Altay (AAT),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAX,Araxa Airport,Araxa,Brazil,-19.563056,-46.960278,false,Araxa (AAX),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
AAY,Al Ghaidah Intl,Al Ghaidah Intl,Yemen,16.191667,52.175,true,Al Ghaidah Intl (AAY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABA,Abakan,Abakan,Russia,53.74,91.385,false,Abakan (ABA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABD,Abadan,Abadan,Iran,30.371111,48.228333,false,Abadan (ABD),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABE,Lehigh Valley Intl,Allentown,United States,40.652083,-75.440806,true,Allentown (ABE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABI,Abilene Rgnl,Abilene,United States,32.411319,-99.681897,false,Abilene (ABI),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,5.261386,-3.926294,true,Abidjan (ABJ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ABL,Ambler Airport,Ambler,United States,67.106389,-157.8575,false,Ambler (ABL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
