id,destination_key,destination_display_name,country,state_province,name,rank,activity_type,interest_tags,source_url,source_label,snippet,source_count,budget_tier,updated_at,sitelinks,qid,lat,lon
attr:kabul:darul-aman-palace,kabul,Kabul,Afghanistan,Afghanistan,Darul Aman Palace,1,Ticketed Attraction,culture|iconic_landmarks,https://en.wikipedia.org/wiki/Darul_Aman_Palace,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,28,Q902222,34.464799497,69.108944442
attr:kabul:national-museum-of-afghanistan,kabul,Kabul,Afghanistan,Afghanistan,National Museum of Afghanistan,2,Ticketed Attraction,culture|iconic_landmarks,https://en.wikipedia.org/wiki/National_Museum_of_Afghanistan,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,33,Q715467,34.4675,69.12
attr:kabul:ghazi-stadium,kabul,Kabul,Afghanistan,Afghanistan,Ghazi Stadium,3,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Ghazi_Stadium,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,24,Q1521498,34.518611111,69.193888888
attr:kabul:kabul-zoo,kabul,Kabul,Afghanistan,Afghanistan,Kabul Zoo,4,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Kabul_Zoo,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,16,Q833625,34.50944444,69.15527778
attr:kabul:afghan-film,kabul,Kabul,Afghanistan,Afghanistan,Afghan Film,5,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Afghan_Film,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,9,Q4689069,34.531142,69.187266
attr:kabul:afghanistan-football-federation-stadium,kabul,Kabul,Afghanistan,Afghanistan,Afghanistan Football Federation Stadium,6,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Afghanistan_Football_Federation_Stadium,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,9,Q383181,34.52,69.196667
attr:kabul:omar-mine-museum,kabul,Kabul,Afghanistan,Afghanistan,OMAR Mine Museum,7,Ticketed Attraction,culture|iconic_landmarks,https://en.wikipedia.org/wiki/OMAR_Mine_Museum,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,6,Q5361536,34.55986,69.20184
attr:mariehamn:pommern,mariehamn,Mariehamn,Åland Islands,Åland Islands,Pommern,1,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Pommern_(ship),wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,10,Q1775746,60.097,19.92480556
attr:mariehamn:wiklf-holding-arena,mariehamn,Mariehamn,Åland Islands,Åland Islands,Wiklöf Holding Arena,2,Sights & Landmarks,culture|iconic_landmarks|authentic_local,https://en.wikipedia.org/wiki/Wikl%C3%B6f_Holding_Arena,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,13,Q2414122,60.102222,19.935278
attr:mariehamn:land-maritime-museum,mariehamn,Mariehamn,Åland Islands,Åland Islands,Åland Maritime Museum,3,Ticketed Attraction,culture|iconic_landmarks,https://en.wikipedia.org/wiki/%C3%85land_Maritime_Museum,wikidata+wikipedia,,3,paid,2026-02-28T04:14:50.571Z,10,Q4357413,60.096944,19.926389
