"Destination English Name","Country","State/Provence","Nearest City","Destination Official Name"
"Herat","Afghanistan","","Herat","Herat"
"Kabul","Afghanistan","","Kabul","Kabul"
"Kandahar","Afghanistan","","Kandahar","Kandahar"
"Molah","Afghanistan","","Molah","Molah"
"Maidan Shar","Afghanistan","","Maidan Shar","Shar"
"Mazar-i-Sharif","Afghanistan","","Mazar-i-Sharif","Sharif"
"Wazir Akbar Khan, Kabul","Afghanistan","","Wazir Akbar Khan, Kabul","Wazir Akbar Khan"
"Ishkashim, Afghanistan","Afghanistan","","Ishkashim, Afghanistan","Ashkāsham"
"Faizabad","Afghanistan","","Faizabad","Fayzabad"
"Khandud","Afghanistan","","Khandud","Khandūd"
"Rāghistān","Afghanistan","","Rāghistān","Rāghistān"
"Wākhān","Afghanistan","","Wākhān","Wākhān"
"Qala e Naw","Afghanistan","","Qala e Naw","Qala i Naw"
"Baghlan","Afghanistan","","Baghlan","Baghlān"
"Ḩukūmatī Dahanah-ye Ghōrī","Afghanistan","","Ḩukūmatī Dahanah-ye Ghōrī","Ḩukūmatī Dahanah-ye Ghōrī"
"Nahrīn","Afghanistan","","Nahrīn","Nahrīn"
"Pul-e Khumrī","Afghanistan","","Pul-e Khumrī","Pul-e Khumrī"
"Balkh","Afghanistan","","Balkh","Balkh"
"Dowlatābād","Afghanistan","","Dowlatābād","Dowlatābād"
"Kholm, Afghanistan","Afghanistan","","Kholm, Afghanistan","Khulm"
"Mariehamn","Åland Islands","","Mariehamn","Mariehamn"
"TIRANA","Albania","","TIRANA","TIRANA"
"Port of Durrës","Albania","","Port of Durrës","Durrës"
"Elbasan","Albania","","Elbasan","Elbasan"
"Municipalities of Albania","Albania","","Municipalities of Albania","Petran"
"Pogradec","Albania","","Pogradec","Pogradec"
"Shkodër","Albania","","Shkodër","Shkoder"
"Ura Vajgurore","Albania","","Ura Vajgurore","Ura Vajgurore"
"Villages of Fier County","Albania","","Villages of Fier County","Banaj"
"Bashkia Berat","Albania","","Bashkia Berat","Bashkia Berat"
"Bashkia Kuçovë","Albania","","Bashkia Kuçovë","Bashkia Kuçovë"
"Bashkia Poliçan","Albania","","Bashkia Poliçan","Bashkia Poliçan"
"Bashkia Skrapar","Albania","","Bashkia Skrapar","Bashkia Skrapar"
"Berat","Albania","","Berat","Berat"
"Çorovodë","Albania","","Çorovodë","Çorovodë"
"Kuçovë District","Albania","","Kuçovë District","Kuçovë"
"Poliçan","Albania","","Poliçan","Poliçan"
"Rrethi i Beratit","Albania","","Rrethi i Beratit","Rrethi i Beratit"
"Rrethi i Kuçovës","Albania","","Rrethi i Kuçovës","Rrethi i Kuçovës"
"ALGIERS","Algeria","EL DJAZAIR","ALGIERS","ALGIERS"
"Oran","Algeria","Oran","Oran","Wahran"
"Constantine, Algeria","Algeria","Constantine","Constantine, Algeria","Qacentina"
"Annaba","Algeria","","Annaba","Annaba"
"Batna (city)","Algeria","","Batna (city)","Batna"
"Blida","Algeria","Blida","Blida","El Boulaïda"
"STIF","Algeria","Sétif","STIF","Stif"
"Sidi Bel Abbès Province","Algeria","","Sidi Bel Abbès Province","Sidi-bel-Abbès"
"Biskra","Algeria","","Biskra","Beskra"
"Chlef","Algeria","El Asnam","Chlef","Ech Cheliff"
"Djelfa","Algeria","","Djelfa","El Djelfa"
"Tlemcen","Algeria","Tlemcen","Tlemcen","Tilimsen"
"Tébessa","Algeria","","Tébessa","Tbessa"
"Skikda","Algeria","","Skikda","Skikda"
"Tiaret","Algeria","","Tiaret","Tihert"
"Béjaïa","Algeria","","Béjaïa","Bejaïa"
"Ouargla","Algeria","","Ouargla","Wargla"
"Béchar","Algeria","","Béchar","Béchar"
"Bordj Bou Arréridj","Algeria","","Bordj Bou Arréridj","Bordj Bou Arreridj"
"Médéa","Algeria","Medea","Médéa","Lemdiyya"
"Ghardaïa","Algeria","","Ghardaïa","Ghardaïa"
"Mostaganem","Algeria","Mostaganem","Mostaganem","Mestghanem"
"Souk Ahras","Algeria","","Souk Ahras","Souq Ahras"
"Touggourt","Algeria","","Touggourt","Touggourt"
"Saïda, Algeria","Algeria","","Saïda, Algeria","Saïda"
"Guelma","Algeria","","Guelma","Guelma"
"Jijel","Algeria","","Jijel","Jijel"
"El Wad","Algeria","","El Wad","El Wad"
"El Eulma","Algeria","","El Eulma","El Eulma"
"Ghilizane","Algeria","","Ghilizane","Ghilizane"
"Bordj el Kiffan","Algeria","","Bordj el Kiffan","Bordj el Kiffan"
"M'Sila","Algeria","","M'Sila","M'Sila"
"Azazga","Algeria","","Azazga","Azazga"
"Bordj","Algeria","","Bordj","Bordj"
"Bougara","Algeria","","Bougara","Bougara"
"Cheraga","Algeria","","Cheraga","Cheraga"
