Category,Name,Visitor Count,Climate,Price Level,Best Month,Editorial Summary,Popularity Tier,Address,UNESCO,Rating,userRatingCount,websiteUri,googleMapsUri,Keyword 1,Keyword 2,Keyword 3
Country,Afghanistan,78893015,BSk,1,April - June,The sovereign state of Afghanistan.,26.31,Afghanistan,Yes,4.7,395194,https://www.visitafghanistan.com,https://www.google.com/maps/search/Afghanistan,Culture & Museums,Food & Wine,Adventure
Country,Albania,80895131,Cfa,1,September - November,The sovereign state of Albania.,25.21,Albania,Yes,4.6,301552,https://www.visitalbania.com,https://www.google.com/maps/search/Albania,Culture & Museums,Food & Wine,Adventure
Country,Algeria,49211793,BWh,1,November - March,The sovereign state of Algeria.,26.45,Algeria,Yes,4.7,424759,https://www.visitalgeria.com,https://www.google.com/maps/search/Algeria,Culture & Museums,Food & Wine,Adventure
Country,Andorra,23136742,Cfb,3,June - August,The sovereign state of Andorra.,27.3,Andorra,Yes,4.7,643782,https://www.visitandorra.com,https://www.google.com/maps/search/Andorra,Culture & Museums,Food & Wine,Adventure
Country,Angola,37662323,Aw,1,November - April,The sovereign state of Angola.,26.1,Angola,Yes,4.6,472514,https://www.visitangola.com,https://www.google.com/maps/search/Angola,Culture & Museums,Food & Wine,Adventure
Country,Argentina,33075853,Cfa,1,September - November,The sovereign state of Argentina.,24.37,Argentina,Yes,4.8,119487,https://www.visitargentina.com,https://www.google.com/maps/search/Argentina,Culture & Museums,Food & Wine,Adventure
Country,Australia,51994766,BWh,3,November - March,The sovereign state of Australia.,27.11,Australia,Yes,4.6,784242,https://www.visitaustralia.com,https://www.google.com/maps/search/Australia,Culture & Museums,Food & Wine,Adventure
State/Province,"New South Wales, Australia",6387741,BWh,3,November - March,The sub-region of New South Wales in Australia.,23.53,"New South Wales, Australia",No,4.2,400174,https://www.tourism.newsouthwales.gov,https://www.google.com/maps/search/New+South+Wales+Australia,Nature and Hiking,City Break,Family
State/Province,"Queensland, Australia",3567023,BWh,3,November - March,The sub-region of Queensland in Australia.,19.27,"Queensland, Australia",No,4.1,50183,https://www.tourism.queensland.gov,https://www.google.com/maps/search/Queensland+Australia,Nature and Hiking,City Break,Family
State/Province,"South Australia, Australia",5227721,BWh,3,November - March,The sub-region of South Australia in Australia.,25.19,"South Australia, Australia",No,4.7,229099,https://www.tourism.southaustralia.gov,https://www.google.com/maps/search/South+Australia+Australia,Nature and Hiking,City Break,Family
State/Province,"Tasmania, Australia",1501788,BWh,3,November - March,The sub-region of Tasmania in Australia.,23.75,"Tasmania, Australia",No,4.3,333788,https://www.tourism.tasmania.gov,https://www.google.com/maps/search/Tasmania+Australia,Nature and Hiking,City Break,Family
State/Province,"Victoria, Australia",6405090,BWh,3,November - March,The sub-region of Victoria in Australia.,24.46,"Victoria, Australia",No,4.8,124786,https://www.tourism.victoria.gov,https://www.google.com/maps/search/Victoria+Australia,Nature and Hiking,City Break,Family
State/Province,"Western Australia, Australia",362069,BWh,3,November - March,The sub-region of Western Australia in Australia.,21.89,"Western Australia, Australia",No,4.3,123362,https://www.tourism.westernaustralia.gov,https://www.google.com/maps/search/Western+Australia+Australia,Nature and Hiking,City Break,Family
Country,Austria,27026066,Dfb,3,June - August,The sovereign state of Austria.,23.22,Austria,Yes,4.3,251835,https://www.visitaustria.com,https://www.google.com/maps/search/Austria,Culture & Museums,Food & Wine,Adventure
Country,Brazil,16969063,Aw,1,November - April,The sovereign state of Brazil.,22.3,Brazil,Yes,4.1,274125,https://www.visitbrazil.com,https://www.google.com/maps/search/Brazil,Culture & Museums,Food & Wine,Adventure
State/Province,"Sao Paulo, Brazil",8822841,Aw,1,November - April,The sub-region of Sao Paulo in Brazil.,22.8,"Sao Paulo, Brazil",No,4.3,200228,https://www.tourism.saopaulo.gov,https://www.google.com/maps/search/Sao+Paulo+Brazil,Nature and Hiking,City Break,Family
State/Province,"Rio de Janeiro, Brazil",2879118,Aw,1,November - April,The sub-region of Rio de Janeiro in Brazil.,25.77,"Rio de Janeiro, Brazil",No,4.6,400776,https://www.tourism.riodejaneiro.gov,https://www.google.com/maps/search/Rio+de+Janeiro+Brazil,Nature and Hiking,City Break,Family
State/Province,"Bahia, Brazil",9025795,Aw,1,November - April,The sub-region of Bahia in Brazil.,21.46,"Bahia, Brazil",No,4.0,231769,https://www.tourism.bahia.gov,https://www.google.com/maps/search/Bahia+Brazil,Nature and Hiking,City Break,Family
State/Province,"Minas Gerais, Brazil",4944816,Aw,1,November - April,The sub-region of Minas Gerais in Brazil.,25.83,"Minas Gerais, Brazil",No,4.6,412760,https://www.tourism.minasgerais.gov,https://www.google.com/maps/search/Minas+Gerais+Brazil,Nature and Hiking,City Break,Family
State/Province,"Amazonas, Brazil",5473680,Aw,1,November - April,The sub-region of Amazonas in Brazil.,22.98,"Amazonas, Brazil",No,4.1,401766,https://www.tourism.amazonas.gov,https://www.google.com/maps/search/Amazonas+Brazil,Nature and Hiking,City Break,Family
